Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  192.168.122.71        107   0200.4c4f.4f50  ARPA   Vlan1
Internet  192.168.122.83        127   0c98.a415.8001  ARPA   Vlan1
Internet  192.168.122.84        119   0c98.a47d.8001  ARPA   Vlan1
Internet  192.168.122.85        140   0c98.a42d.8001  ARPA   Vlan1
Internet  192.168.122.86        117   0c98.a4d7.8001  ARPA   Vlan1
Internet  192.168.122.87          -   0c98.a404.8001  ARPA   Vlan1
Internet  192.168.122.91        228   0c98.a4f0.8500  ARPA   Vlan1
Internet  192.168.122.92        233   0c98.a4c6.8001  ARPA   Vlan1
Internet  192.168.122.93          4   0c98.a445.8001  ARPA   Vlan1
Internet  192.168.122.94        249   0c98.a4d5.8001  ARPA   Vlan1
Internet  192.168.122.95        241   0c98.a441.8001  ARPA   Vlan1
Internet  192.168.122.96         84   0c98.a479.8001  ARPA   Vlan1
