Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  192.168.122.71         94   0200.4c4f.4f50  ARPA   Vlan1
Internet  192.168.122.81        136   0c98.a4db.bd00  ARPA   Vlan1
Internet  192.168.122.83        139   0c98.a415.8001  ARPA   Vlan1
Internet  192.168.122.84          -   0c98.a47d.8001  ARPA   Vlan1
Internet  192.168.122.85        124   0c98.a42d.8001  ARPA   Vlan1
Internet  192.168.122.86        137   0c98.a4d7.8001  ARPA   Vlan1
Internet  192.168.122.87        117   0c98.a404.8001  ARPA   Vlan1
Internet  192.168.122.92        120   0c98.a4c6.8001  ARPA   Vlan1
Internet  192.168.122.93        103   0c98.a445.8001  ARPA   Vlan1
Internet  192.168.122.94        110   0c98.a4d5.8001  ARPA   Vlan1
Internet  192.168.122.95        115   0c98.a441.8001  ARPA   Vlan1
Internet  192.168.122.96        110   0c98.a479.8001  ARPA   Vlan1
