Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up      
GigabitEthernet0/1     unassigned      YES unset  down                  down    
GigabitEthernet0/2     172.16.0.206    YES NVRAM  up                    up      
GigabitEthernet0/3     unassigned      YES unset  down                  down    
GigabitEthernet1/0     unassigned      YES unset  down                  down    
GigabitEthernet1/1     unassigned      YES unset  down                  down    
GigabitEthernet1/2     unassigned      YES unset  down                  down    
GigabitEthernet1/3     unassigned      YES manual up                    up      
GigabitEthernet2/0     172.16.0.221    YES NVRAM  up                    up      
GigabitEthernet2/1     172.16.0.225    YES NVRAM  up                    up      
GigabitEthernet2/2     172.16.0.229    YES NVRAM  up                    up      
GigabitEthernet2/3     unassigned      YES manual up                    up      
GigabitEthernet3/0     unassigned      YES unset  down                  down    
GigabitEthernet3/1     unassigned      YES unset  down                  down    
GigabitEthernet3/2     unassigned      YES unset  down                  down    
GigabitEthernet3/3     unassigned      YES unset  down                  down    
Loopback1              3.3.3.3         YES manual up                    up      
Port-channel1          172.16.0.234    YES manual up                    up      
Vlan1                  192.168.122.93  YES NVRAM  up                    up
