Neighbor ID     Pri   State           Dead Time   Address         Interface
2.2.2.2           1   FULL/BDR        00:00:38    192.168.60.2    Vlan60
2.2.2.2           1   FULL/BDR        00:00:35    192.168.50.2    Vlan50
2.2.2.2           1   FULL/BDR        00:00:36    192.168.40.2    Vlan40
2.2.2.2           1   FULL/BDR        00:00:36    192.168.30.2    Vlan30
2.2.2.2           1   FULL/BDR        00:00:38    192.168.20.2    Vlan20
2.2.2.2           1   FULL/BDR        00:00:30    192.168.10.2    Vlan10
2.2.2.2           1   FULL/BDR        00:00:37    10.10.30.1      Port-channel1
1.1.1.1           1   FULL/BDR        00:00:36    10.10.20.1      GigabitEthernet0/2
