"Device hostname","Model","IOS verison","Serial number","Total memory left:","Image location:"
"s1","IOSv","15.2(20170321:233949)","9H5NYQGERMT","1634161.640625","flash0:/vios_l2-adventerprisek9-m"
"s2","IOSv","15.2(20170321:233949)","9H5NYQGERMT","1634161.640625","flash0:/vios_l2-adventerprisek9-m"
