Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  172.16.0.65             -   0c98.a441.350c  ARPA   GigabitEthernet3/0
Internet  172.16.0.97             -   0c98.a441.350d  ARPA   GigabitEthernet3/1
Internet  172.16.0.213            1   0c98.a4c6.ea05  ARPA   GigabitEthernet1/1
Internet  172.16.0.214            -   0c98.a441.3505  ARPA   GigabitEthernet1/1
Internet  172.16.0.225            1   0c98.a445.9409  ARPA   GigabitEthernet2/1
Internet  172.16.0.226            -   0c98.a441.3509  ARPA   GigabitEthernet2/1
Internet  192.168.122.71         27   0200.4c4f.4f50  ARPA   Vlan1
Internet  192.168.122.91         27   0c98.a4f0.8500  ARPA   Vlan1
Internet  192.168.122.92         27   0c98.a4c6.8001  ARPA   Vlan1
Internet  192.168.122.93         27   0c98.a445.8001  ARPA   Vlan1
Internet  192.168.122.94         27   0c98.a4d5.8001  ARPA   Vlan1
Internet  192.168.122.95          -   0c98.a441.8001  ARPA   Vlan1
Internet  192.168.122.96         27   0c98.a479.8001  ARPA   Vlan1
