Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.10.10.1             44   0c98.a4f0.8501  ARPA   GigabitEthernet0/1
Internet  10.10.10.2              -   0c98.a4c6.ea01  ARPA   GigabitEthernet0/1
Internet  10.10.30.1              -   0c98.a4c6.8000  ARPA   Port-channel1
Internet  10.10.30.2             44   0c98.a445.8000  ARPA   Port-channel1
Internet  192.168.10.1            -   0000.0c07.ac01  ARPA   Vlan10
Internet  192.168.10.2            -   0c98.a4c6.800a  ARPA   Vlan10
Internet  192.168.10.3           74   0c98.a445.800a  ARPA   Vlan10
Internet  192.168.20.1            -   0000.0c07.ac02  ARPA   Vlan20
Internet  192.168.20.2            -   0c98.a4c6.8014  ARPA   Vlan20
Internet  192.168.20.3           74   0c98.a445.8014  ARPA   Vlan20
Internet  192.168.30.1            -   0000.0c07.ac03  ARPA   Vlan30
Internet  192.168.30.2            -   0c98.a4c6.801e  ARPA   Vlan30
Internet  192.168.30.3           74   0c98.a445.801e  ARPA   Vlan30
Internet  192.168.40.1            -   0000.0c07.ac04  ARPA   Vlan40
Internet  192.168.40.2            -   0c98.a4c6.8028  ARPA   Vlan40
Internet  192.168.40.3           73   0c98.a445.8028  ARPA   Vlan40
Internet  192.168.50.1            -   0000.0c07.ac05  ARPA   Vlan50
Internet  192.168.50.2            -   0c98.a4c6.8032  ARPA   Vlan50
Internet  192.168.50.3           73   0c98.a445.8032  ARPA   Vlan50
Internet  192.168.60.1            -   0000.0c07.ac06  ARPA   Vlan60
Internet  192.168.60.2            -   0c98.a4c6.803c  ARPA   Vlan60
Internet  192.168.60.3           73   0c98.a445.803c  ARPA   Vlan60
Internet  192.168.122.71          0   0200.4c4f.4f50  ARPA   Vlan1
Internet  192.168.122.91         78   0c98.a4f0.8500  ARPA   Vlan1
Internet  192.168.122.92          -   0c98.a4c6.8001  ARPA   Vlan1
Internet  192.168.122.93         78   0c98.a445.8001  ARPA   Vlan1
Internet  192.168.122.94          8   0c98.a4d5.8001  ARPA   Vlan1
Internet  192.168.122.95          9   0c98.a441.8001  ARPA   Vlan1
Internet  192.168.122.96          8   0c98.a479.8001  ARPA   Vlan1
