"Device hostname","Model","IOS verison","Serial number","Total memory left:","Image location:"
"r1","IOSv","15.6(2)T","9WXJNEKU4Y1MIGTB6XQWB","759117.41015625","flash0:/vios-adventerprisek9-m"
"sw1","IOSv","15.2(20170321:233949)","9PO7QAWU05X","1634161.640625","flash0:/vios_l2-adventerprisek9-m"
"sw2","IOSv","15.2(20170321:233949)","9J78ZKRS0IN","1634161.640625","flash0:/vios_l2-adventerprisek9-m"
"sw3","IOSv","15.2(20170321:233949)","99HU0YLYURS","1634161.640625","flash0:/vios_l2-adventerprisek9-m"
